StopId,Name
NSR:StopPlace:536,Brakerøya stasjon
NSR:StopPlace:659,Trondheim S
NSR:StopPlace:416,Vikhammer stasjon
NSR:StopPlace:658,Snartemo stasjon
NSR:StopPlace:418,Asker stasjon
NSR:StopPlace:411,Varhaug stasjon
NSR:StopPlace:653,Tønsberg stasjon
NSR:StopPlace:652,Dovre stasjon
NSR:StopPlace:413,Levanger stasjon
NSR:StopPlace:412,Askim stasjon
NSR:StopPlace:654,Slitu stasjon
NSR:StopPlace:547,Ås stasjon
NSR:StopPlace:305,Nyland stasjon
NSR:StopPlace:426,Lier stasjon
NSR:StopPlace:425,Vinstra stasjon
NSR:StopPlace:667,Tomter stasjon
NSR:StopPlace:549,Kløve stasjon
NSR:StopPlace:669,Steinvik stasjon
NSR:StopPlace:427,Atna stasjon
NSR:StopPlace:548,Bergen stasjon
NSR:StopPlace:309,Ogna stasjon
NSR:StopPlace:429,Vikersund stasjon
NSR:StopPlace:420,Lillehammer stasjon
NSR:StopPlace:662,Sande stasjon
NSR:StopPlace:540,Årnes stasjon
NSR:StopPlace:543,Klepp stasjon
NSR:StopPlace:542,Brumunddal stasjon
NSR:StopPlace:663,Tolga stasjon
NSR:StopPlace:421,Vigrestad stasjon
NSR:StopPlace:303,Høvik stasjon
NSR:StopPlace:316,Oppdal stasjon
NSR:StopPlace:318,Geilo stasjon
NSR:StopPlace:439,Ljosanbotn stasjon
NSR:StopPlace:319,Høn stasjon
NSR:StopPlace:673,Snåsa stasjon
NSR:StopPlace:672,Torp stasjon
NSR:StopPlace:554,Åsen stasjon
NSR:StopPlace:433,Ljan stasjon
NSR:StopPlace:311,Gjerdåker stasjon
NSR:StopPlace:553,Kløfta stasjon
NSR:StopPlace:677,Trengereid stasjon
NSR:StopPlace:435,Vennesla stasjon
NSR:StopPlace:434,Audnedal stasjon
NSR:StopPlace:555,Breland stasjon
NSR:StopPlace:676,Stoa stasjon
NSR:StopPlace:313,Høybråten stasjon
NSR:StopPlace:206,Mariero stasjon
NSR:StopPlace:447,Auma stasjon
NSR:StopPlace:568,Bryne stasjon
NSR:StopPlace:329,Ilseng stasjon
NSR:StopPlace:208,Fjellhamar stasjon
NSR:StopPlace:328,Opphus stasjon
NSR:StopPlace:680,Solbråtan stasjon
NSR:StopPlace:440,Voss stasjon
NSR:StopPlace:561,Brusand stasjon
NSR:StopPlace:560,Knapstad stasjon
NSR:StopPlace:681,Trollhättan Centralstation
NSR:StopPlace:684,Sonsveien stasjon
NSR:StopPlace:200,Finse stasjon
NSR:StopPlace:441,Auli stasjon
NSR:StopPlace:202,Holmlia stasjon
NSR:StopPlace:323,Oppegård stasjon
NSR:StopPlace:685,Trofors stasjon
NSR:StopPlace:446,Langlete stasjon
NSR:StopPlace:203,Moss stasjon
NSR:StopPlace:687,Sparbu stasjon
NSR:StopPlace:324,Gol stasjon
NSR:StopPlace:445,Vieren stasjon
NSR:StopPlace:337,Oslo S
NSR:StopPlace:216,Flaten stasjon
NSR:StopPlace:219,Hamar stasjon
NSR:StopPlace:691,Spydeberg stasjon
NSR:StopPlace:690,Trykkerud stasjon
NSR:StopPlace:451,Lillestrøm stasjon
NSR:StopPlace:572,Kolbotn stasjon
NSR:StopPlace:453,Bergsgrav stasjon
NSR:StopPlace:332,Os stasjon
NSR:StopPlace:211,Mosjøen stasjon
NSR:StopPlace:695,Tuen stasjon
NSR:StopPlace:210,Heimdal stasjon
NSR:StopPlace:331,Glåmos stasjon
NSR:StopPlace:694,Spikkestad stasjon
NSR:StopPlace:575,Tverlandet stasjon
NSR:StopPlace:699,Tynset stasjon
NSR:StopPlace:214,Melhus skysstasjon
NSR:StopPlace:456,Trondheim lufthavn stasjon
NSR:StopPlace:698,Skiple stasjon
NSR:StopPlace:577,Billingstad stasjon
NSR:StopPlace:349,Upsete stasjon
NSR:StopPlace:469,Lerkendal stasjon
NSR:StopPlace:229,Hommelvik stasjon
NSR:StopPlace:108,Sandefjord stasjon
NSR:StopPlace:460,Bjerka stasjon
NSR:StopPlace:580,Koppang stasjon
NSR:StopPlace:462,Ygre stasjon
NSR:StopPlace:461,Lundamo stasjon
NSR:StopPlace:222,Myrdal stasjon
NSR:StopPlace:585,Storekvina stasjon
NSR:StopPlace:101,Sagdalen stasjon
NSR:StopPlace:584,Bulken stasjon
NSR:StopPlace:586,Kotsøy stasjon
NSR:StopPlace:223,Flå stasjon
NSR:StopPlace:344,Jessheim stasjon
NSR:StopPlace:468,Ørneberget stasjon
NSR:StopPlace:226,Mysen stasjon
NSR:StopPlace:467,Bjorli stasjon
NSR:StopPlace:104,Skonseng stasjon
NSR:StopPlace:239,Fredrikstad stasjon
NSR:StopPlace:118,Singsås stasjon
NSR:StopPlace:117,Elverum stasjon
NSR:StopPlace:359,Grorud stasjon
NSR:StopPlace:238,Nordby stasjon
NSR:StopPlace:590,Bø stasjon
NSR:StopPlace:592,Kopperå stasjon
NSR:StopPlace:591,Storlien station
NSR:StopPlace:110,Skogn stasjon
NSR:StopPlace:472,Blakstad stasjon
NSR:StopPlace:351,Grong stasjon
NSR:StopPlace:230,Myrvoll stasjon
NSR:StopPlace:354,Urdland stasjon
NSR:StopPlace:596,Stavanger stasjon
NSR:StopPlace:475,Leirsund stasjon
NSR:StopPlace:474,Øyeflaten stasjon
NSR:StopPlace:114,Seimsgrend stasjon
NSR:StopPlace:597,Bøylestad stasjon
NSR:StopPlace:234,Mørkved stasjon
NSR:StopPlace:237,Hovin stasjon
NSR:StopPlace:116,Haltdalen stasjon
NSR:StopPlace:358,Ustaoset stasjon
NSR:StopPlace:357,Jørstad stasjon
NSR:StopPlace:480,Øksnavadporten stasjon
NSR:StopPlace:481,Lassemoen stasjon
NSR:StopPlace:242,Nærbø stasjon
